"","X.1","X","Family.Size","Males","Females","Natives","Not.Natives","Male.Occupation","Female.Occupation","Born.slaves","EduLevel","Literate"
"51","563",964,"3",1,2,1,2,"porter","washer","0",50,"0"
"52","570",980,"3",2,1,0,3,"laborer","washer","2",16.66,"0"
"53","572",986,"3",1,2,1,2,"hod carrier","days work","0",16.66,"0"
"54","593",1021,"3",1,2,3,0,"laborer","dom. duties","0",66.67,"1"
"55","596",1025,"3",2,1,1,2,"waiter","washer","0",50,"0"
"56","602",1032,"2",1,1,0,2,"waiter","days work","0",75,"1"
"57","610",1044,"2",1,1,0,2,"waiter","dom. duties","0",50,"0"
"58","626",1071,"4",3,1,1,3,"seaman","washer","0",0,"0"
"59","642",1087,"4",2,2,2,2,"laborer","days work","0",87.5,"1"
"60","648",1095,"5",1,4,3,2,"waiter $10m","washer","0",0,"0"
"61","656",1113,"5",3,2,5,0,"laborer","days work","0",30,"0"
"62","657",1115,"4",3,1,2,2,"porter","days work","0",25,"0"
"63","658",1117,"6",3,3,3,3,"porter","washer","0",50,"0"
"64","664",1125,"3",2,1,1,1,"seaman","days work","0",0,"0"
"66","667",1131,"2",1,1,0,2,"hod carrier","days work","0",75,"1"
"67","701",1191,"9",4,5,5,4,"hod carrier","washer","0",38.88,"0"
"68","712",1227,"6",2,4,0,6,"laborer","days work","1",16.67,"0"
"69","728",1258,"2",1,1,0,0,"laborer","washer","0",50,"0"
"70","740",1279,"5",2,3,5,0,"porter","dom. duties","0",40,"0"
"71","756",1306,"4",1,3,0,4,"laborer","washer","0",12.5,"0"
"72","769",1325,"3",2,1,3,0,"laborer","days work","0",0,"0"
"73","789",1353,"6",4,2,1,5,"laborer","days work","0",0,"0"
"75","803",1378,"4",1,3,3,1,"porter","washer","1",62.5,"1"
"76","811",1387,"2",1,1,0,2,"laborer","washer","0",75,"1"
"77","813",1390,"4",1,3,2,2,"waiter","washer","0",37.5,"0"
"78","815",1394,"3",1,2,0,3,"laborer","washer","0",50,"0"
"79","830",1419,"3",2,1,1,2,"porter","days work","0",33.34,"0"
"80","837",1427,"2",1,1,1,1,"waiter $10m","days work","0",50,"0"
"81","838",1429,"2",1,1,0,2,"waiter","washer","0",50,"0"
"83","849",1446,"3",1,2,2,1,"porter","2 washers","1",33.34,"0"
"84","866",1471,"5",2,3,1,4,"porter","2 washers","4",10,"0"
"85","875",1483,"4",2,2,2,2,"waiter","days work","0",75,"1"
"86","880",1491,"2",1,1,0,2,"hod carrier","washer","1",25,"0"
"88","914",1543,"8",4,4,7,1,"laborer","days work","1",37.5,"0"
"90","923",1554,"4",2,2,2,2,"laborer","washer","0",62.5,"1"
"91","928",1561,"6",2,4,6,0,"barber","dom. duties","0",50,"0"
"93","941",1582,"8",2,6,7,1,"waiter","days work","0",31.25,"0"
"95","948",1592,"3",1,2,1,2,"waiter","washer","0",50,"0"
"96","959",1606,"3",2,1,1,2,"barber","washer","0",66.67,"1"
"98","963",1613,"4",1,3,1,3,"porter","washer","0",12.5,"0"
"99","972",1632,"3",2,1,1,2,"hod carrier","days work","0",33.34,"0"
"100","973",1633,"4",1,3,0,4,"porter","dom. duties","3",12.5,"0"
"101","975",1635,"5",2,3,2,1,"waiter","washer","0",40,"0"
